date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,lethality_rate
2021-03-07,AZ,16328.0,14403.0,5,1925.0,57907.0,57907.0,963.0,44,,273.0,3073010.0,13678,,,,,143.0,826454.0,769935.0,1335,0,,,,,,,,0,7908105.0,45110,580569.0,,444089.0,,3842945.0,14856,7908105.0,45110,1.9756695472464287
2021-03-07,AS,0.0,,0,,,,,0,,,2140.0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,2140.0,0,,,,,,0,2140.0,0,
2021-03-07,AR,5319.0,4308.0,22,1011.0,14926.0,14926.0,335.0,11,,141.0,2480716.0,3267,,,2480716.0,1533.0,65.0,324818.0,255726.0,165,0,,,,81803.0,,315517.0,,0,2736442.0,3380,,,,481311.0,,0,2736442.0,3380,1.6375324027609308
2021-03-07,MO,8161.0,,0,,,,955.0,0,,197.0,1878583.0,2950,127001.0,,4025535.0,,135.0,480643.0,480643.0,291,0,24926.0,83657.0,,,530741.0,,,0,4565866.0,10659,152126.0,906752.0,135759.0,366813.0,2359226.0,3241,4565866.0,10659,1.6979338095010226
2021-03-07,HI,445.0,445.0,1,,2226.0,2226.0,27.0,0,,5.0,,0,,,,,3.0,28699.0,27891.0,53,0,,,,,27774.0,,1146796.0,5117,1146796.0,5117,,,,,,0,,0,1.5505766751454755
2021-03-07,MP,2.0,2.0,0,,4.0,4.0,,0,,,17429.0,0,,,,,,145.0,145.0,1,0,,,,,,29.0,,0,17574.0,1,,,,,17542.0,0,26131.0,0,1.3793103448275863
2021-03-07,PA,24349.0,,32,,,,1587.0,0,,314.0,3942124.0,6592,,,,,183.0,948643.0,814540.0,1658,0,,,,,,861756.0,10681716.0,52432,10681716.0,52432,,,,,4756664.0,8073,,0,2.5667189870161904
2021-03-07,MT,1381.0,,0,,4630.0,4630.0,63.0,1,,12.0,,0,,,,,6.0,100914.0,95390.0,72,0,,,,,,97943.0,,0,1104488.0,3132,,,,,,0,1104488.0,3132,1.368491983272886
2021-03-07,WY,682.0,,0,,1391.0,1391.0,21.0,0,,,182264.0,0,,,602513.0,,,54764.0,46397.0,0,0,,,,,38993.0,53550.0,,0,649293.0,0,,,,,228661.0,0,649293.0,0,1.245343656416624
2021-03-07,WV,2325.0,1981.0,2,344.0,,,179.0,0,,40.0,,0,,,,,26.0,133445.0,106629.0,155,0,,,,,,125383.0,,0,2236551.0,6449,33011.0,,,,,0,2236551.0,6449,1.7422908314286785
2021-03-07,WI,7106.0,6481.0,4,625.0,26457.0,26457.0,249.0,25,2273.0,66.0,2647864.0,3521,,,,,,621654.0,566693.0,377,0,,,,,,553203.0,7080595.0,19193,7080595.0,19193,,,,,3214557.0,3850,,0,1.1430795908978306
2021-03-07,WA,5041.0,,0,,19599.0,19599.0,431.0,43,,98.0,,0,,,5068404.0,,43.0,344532.0,325053.0,664,0,,,,,324994.0,,5393756.0,24040,5393756.0,24040,,,,,,0,,0,1.463144207214424
2021-03-07,VT,208.0,,0,,,,31.0,0,,1.0,320060.0,643,,,,,,16083.0,15635.0,119,0,,,,,,13384.0,,0,1124215.0,8748,,,,,335695.0,759,1124215.0,8748,1.2932910526643038
2021-03-07,VI,25.0,25.0,0,,,,,0,,,46167.0,0,,,,,,2714.0,,0,0,,,,,,2559.0,,0,48881.0,0,,,,,48961.0,0,,0,0.9211495946941783
2021-03-07,VA,9596.0,8104.0,77,1492.0,24661.0,24661.0,1127.0,24,,258.0,,0,,,,,168.0,585700.0,461172.0,1163,0,28980.0,125061.0,,,562266.0,,6038209.0,19925,6038209.0,19925,224284.0,1454389.0,,,,0,,0,1.6383814239371692
2021-03-07,UT,1976.0,,1,,14891.0,14891.0,212.0,24,2344.0,73.0,1560293.0,3204,,,2564131.0,822.0,,374850.0,,412,0,,60158.0,,57683.0,345990.0,358958.0,,0,2910121.0,6828,,1002177.0,,371319.0,1876802.0,3460,2910121.0,6828,0.5271441910097372
2021-03-07,TX,44451.0,,84,,,,4721.0,0,,1463.0,,0,,,,,,2686818.0,2320857.0,2953,0,159003.0,211014.0,,,2628176.0,2502609.0,,0,19907384.0,76040,1033285.0,2664340.0,,,,0,19907384.0,76040,1.6544105332032166
2021-03-07,TN,11543.0,9278.0,0,2265.0,18870.0,18870.0,851.0,0,,218.0,,0,,,6119050.0,,127.0,782206.0,653905.0,0,0,,140582.0,,,753695.0,756793.0,,0,6872745.0,0,,1430665.0,,,,0,6872745.0,0,1.475698217605081
